id,employee_id,department,performance_score,years_with_company,salary
715,715,Training,5.16,4,16406.99
716,716,Services,94.98,10,19676.05
717,717,Marketing,80.46,8,12593.24
718,718,Product Management,58.11,2,5687.01
719,719,Engineering,87.75,3,15962.42
720,720,Business Development,91.81,1,10330.2
721,721,Support,11.25,4,13282.53
722,722,Legal,59.86,6,13831.96
723,723,Business Development,3.74,5,7438.05
724,724,Legal,57.48,1,9593.3
725,725,Support,65.0,10,9129.66
726,726,Accounting,16.89,8,7610.35
727,727,Accounting,62.75,1,8852.16
728,728,Services,73.06,5,18535.66
729,729,Accounting,44.5,10,6869.79
730,730,Support,34.36,7,17014.66
731,731,Sales,87.18,8,13911.48
732,732,Marketing,85.81,3,15197.38
733,733,Sales,83.28,5,12417.13
734,734,Business Development,7.77,6,5757.18
735,735,Training,47.45,8,16923.67
736,736,Legal,62.2,7,9574.84
737,737,Marketing,30.23,10,17541.02
738,738,Accounting,82.13,6,8854.98
739,739,Research and Development,94.28,9,8659.0
740,740,Sales,35.4,10,6227.68
741,741,Research and Development,44.46,9,19867.98
742,742,Services,44.99,9,19584.08
743,743,Marketing,50.45,7,12722.99
744,744,Sales,66.87,10,13925.89
745,745,Marketing,54.94,9,7258.29
746,746,Training,96.48,9,10361.21
747,747,Engineering,20.62,1,10356.37
748,748,Support,97.34,3,19232.19
749,749,Product Management,92.35,6,19736.07
750,750,Training,98.92,3,10955.83
751,751,Training,8.1,10,18588.99
752,752,Accounting,59.12,10,16006.17
753,753,Engineering,14.27,7,11078.66
754,754,Product Management,4.85,5,12622.31
755,755,Training,36.29,7,10496.0
756,756,Accounting,45.23,6,5686.8
757,757,Services,38.62,8,18169.25
758,758,Marketing,35.07,4,15653.97
759,759,Research and Development,83.46,4,16859.91
760,760,Accounting,53.44,8,12183.14
761,761,Business Development,73.94,9,10424.28
762,762,Accounting,10.37,1,15158.04
763,763,Support,25.56,6,6295.32
764,764,Research and Development,58.2,1,13004.26
765,765,Human Resources,56.07,1,6834.85
766,766,Engineering,15.72,2,11661.32
767,767,Business Development,98.94,3,8440.42
768,768,Services,18.37,9,9387.15
769,769,Business Development,18.27,6,19357.59
770,770,Business Development,91.36,8,7290.97
771,771,Accounting,96.76,5,17594.38
772,772,Sales,21.84,3,18834.15
773,773,Support,6.09,5,6667.23
774,774,Accounting,42.12,1,11087.89
775,775,Accounting,33.81,8,13534.24
776,776,Legal,40.42,2,11722.29
777,777,Marketing,85.53,8,5048.1
778,778,Product Management,18.68,2,7187.8
779,779,Legal,43.52,2,9501.33
780,780,Training,31.0,1,19120.1
781,781,Accounting,38.48,4,14250.53
782,782,Business Development,16.83,3,15785.11
783,783,Accounting,55.03,7,15736.97
784,784,Services,61.79,3,6693.13
785,785,Sales,35.07,3,13455.59
786,786,Sales,15.45,6,8861.74
787,787,Support,39.87,6,18440.64
788,788,Accounting,9.67,9,18394.09
789,789,Training,38.44,3,18424.67
790,790,Product Management,64.44,8,10377.27
791,791,Engineering,10.67,10,19877.32
792,792,Product Management,54.02,9,13929.32
793,793,Legal,56.1,1,8575.19
794,794,Sales,68.66,3,14303.93
795,795,Legal,59.4,2,18416.64
796,796,Accounting,59.04,3,5630.66
797,797,Training,99.31,6,6758.6
798,798,Services,82.85,1,17587.21
799,799,Training,49.73,6,12804.04
800,800,Sales,69.11,2,18419.82
801,801,Services,99.13,3,5853.53
802,802,Accounting,2.42,10,16416.54
803,803,Engineering,43.94,5,9178.45
804,804,Sales,46.05,6,9986.88
805,805,Support,34.85,7,15410.34
806,806,Accounting,39.81,7,16519.2
807,807,Legal,13.33,7,9377.67
808,808,Marketing,16.31,3,5898.91
809,809,Accounting,8.28,3,17030.54
810,810,Business Development,46.31,8,16241.43
811,811,Marketing,40.42,2,13793.7
812,812,Human Resources,77.43,10,14416.2
813,813,Training,2.17,7,5569.83
814,814,Engineering,33.32,5,15126.18
815,815,Training,43.65,6,15608.17
816,816,Human Resources,50.42,9,12893.82
817,817,Engineering,11.75,8,13287.71
818,818,Training,7.02,8,6741.82
819,819,Research and Development,92.44,7,19564.52
820,820,Training,1.25,7,6290.48
821,821,Business Development,85.36,7,10692.97
822,822,Engineering,34.09,7,5886.26
823,823,Marketing,89.89,3,19583.04
824,824,Support,23.26,4,14125.21
825,825,Training,75.75,6,8151.15
826,826,Business Development,68.72,7,17106.41
827,827,Research and Development,31.36,1,11245.95
828,828,Legal,1.3,5,18264.2
829,829,Engineering,46.12,10,18029.74
830,830,Sales,9.72,2,9502.63
831,831,Training,3.42,2,14181.5
832,832,Marketing,89.74,4,5185.97
833,833,Support,72.9,2,15636.62
834,834,Business Development,19.64,1,15499.94
835,835,Business Development,75.2,2,15041.54
836,836,Services,72.16,9,11206.27
837,837,Marketing,4.06,5,19837.25
838,838,Research and Development,59.0,6,12410.19
839,839,Training,29.73,7,13674.48
840,840,Research and Development,39.31,8,8817.65
841,841,Support,95.56,10,5152.04
842,842,Legal,91.07,4,7267.28
843,843,Training,14.23,4,16366.91
844,844,Engineering,45.61,3,6069.36
845,845,Sales,10.16,2,8407.05
846,846,Legal,41.24,1,19575.14
847,847,Sales,6.01,5,14782.97
848,848,Marketing,83.01,5,8798.06
849,849,Services,41.24,7,16592.57
850,850,Accounting,13.99,9,5099.84
851,851,Support,33.41,5,5737.62
852,852,Accounting,66.43,10,5135.44
853,853,Training,36.64,7,7211.28
854,854,Product Management,7.29,1,15297.47
855,855,Sales,10.05,10,17327.4
856,856,Sales,40.41,3,12109.46
857,857,Sales,58.92,6,17016.05
858,858,Legal,20.68,10,13700.99
859,859,Engineering,63.06,5,5718.39
860,860,Human Resources,97.42,9,13082.35
861,861,Human Resources,99.09,5,16109.22
862,862,Research and Development,91.17,10,17418.38
863,863,Legal,25.88,7,11211.42
864,864,Legal,86.7,1,10703.04
865,865,Human Resources,26.88,1,15387.19
866,866,Business Development,88.37,7,15111.93
867,867,Human Resources,51.82,10,13241.08
868,868,Product Management,23.15,6,6154.25
869,869,Research and Development,57.36,4,19363.82
870,870,Legal,86.98,7,8334.74
871,871,Services,3.99,1,5231.99
872,872,Support,57.54,10,7468.48
873,873,Services,76.09,2,11261.9
874,874,Support,47.19,5,18127.33
875,875,Legal,82.73,7,17836.88
876,876,Training,24.86,8,7855.77
877,877,Marketing,95.33,7,11860.38
878,878,Marketing,89.93,1,13607.79
879,879,Legal,88.4,3,5303.63
880,880,Human Resources,25.56,8,14585.78
881,881,Accounting,26.03,6,7776.09
882,882,Marketing,89.58,2,10206.31
883,883,Services,83.25,5,16947.28
884,884,Accounting,67.64,3,14844.96
885,885,Legal,63.29,10,16443.33
886,886,Legal,39.16,5,18142.14
887,887,Product Management,99.17,4,10190.28
888,888,Marketing,38.6,1,19320.33
889,889,Services,65.85,3,16728.04
890,890,Research and Development,50.8,5,9234.89
891,891,Support,60.81,8,10610.24
892,892,Services,1.89,6,10231.17
893,893,Business Development,54.27,4,19372.32
894,894,Support,77.26,9,13582.43
895,895,Legal,30.38,9,12823.25
896,896,Support,54.1,4,9019.38
897,897,Business Development,67.16,1,15935.92
898,898,Business Development,78.25,9,6775.45
899,899,Research and Development,31.58,7,11336.87
900,900,Legal,15.8,3,15212.41
901,901,Engineering,28.04,2,16409.82
902,902,Human Resources,97.21,8,12138.94
903,903,Training,59.83,4,14942.34
904,904,Product Management,33.89,5,8239.26
905,905,Engineering,79.24,5,10018.31
906,906,Accounting,43.11,8,14334.76
907,907,Engineering,18.88,5,6537.73
908,908,Product Management,48.55,3,14877.35
909,909,Product Management,43.99,7,10214.66
910,910,Accounting,47.85,5,6431.3
911,911,Accounting,61.93,2,17265.1
912,912,Product Management,74.47,4,12987.05
913,913,Support,97.89,1,8536.42
914,914,Services,75.72,6,18674.39
915,915,Product Management,44.6,4,16861.31
916,916,Marketing,32.3,3,15055.16
917,917,Business Development,26.79,1,11802.39
918,918,Legal,61.69,1,19240.3
919,919,Business Development,15.24,4,10378.2
920,920,Accounting,91.62,1,6139.91
921,921,Human Resources,42.72,7,17194.2
922,922,Human Resources,90.36,7,6756.54
923,923,Research and Development,9.94,3,7624.44
924,924,Sales,79.38,6,6082.33
925,925,Legal,70.32,3,15286.01
926,926,Training,45.78,8,10262.55
927,927,Accounting,92.89,1,10555.14
928,928,Research and Development,32.7,4,14343.44
929,929,Sales,9.66,6,18081.47
930,930,Sales,95.88,3,6723.08
931,931,Legal,87.3,6,10986.68
932,932,Legal,20.18,2,7782.01
933,933,Product Management,47.18,4,7442.45
934,934,Business Development,10.29,5,18545.41
935,935,Product Management,79.6,10,7099.82
936,936,Marketing,45.82,1,14975.54
937,937,Human Resources,88.07,6,16356.39
938,938,Legal,53.96,4,10494.6
939,939,Engineering,15.89,4,10620.64
940,940,Marketing,26.01,9,13037.94
941,941,Accounting,64.14,2,8589.12
942,942,Services,39.76,9,18910.22
943,943,Research and Development,20.45,7,6958.11
944,944,Sales,25.59,6,18054.94
945,945,Services,74.35,6,19953.18
946,946,Marketing,31.16,1,7415.47
947,947,Engineering,74.52,10,19922.71
948,948,Legal,85.61,10,16836.76
949,949,Services,23.4,2,15372.77
950,950,Services,88.67,2,15096.9
951,951,Product Management,85.77,7,15584.71
952,952,Marketing,40.19,7,10104.9
953,953,Support,19.26,9,13027.66
954,954,Support,8.12,6,17535.37
955,955,Human Resources,11.61,6,8907.68
956,956,Accounting,57.48,2,19146.75
957,957,Human Resources,82.68,6,19720.42
958,958,Marketing,15.87,10,17139.24
959,959,Research and Development,86.91,2,15085.93
960,960,Sales,75.61,3,12918.75
961,961,Accounting,69.28,6,6526.32
962,962,Support,51.44,3,16175.11
963,963,Human Resources,40.65,2,17127.38
964,964,Marketing,52.18,5,14386.04
965,965,Accounting,22.41,5,8621.08
966,966,Training,61.05,4,11766.31
967,967,Product Management,82.68,5,16130.16
968,968,Business Development,49.11,9,10778.7
969,969,Product Management,2.72,9,17702.27
970,970,Sales,94.7,5,5492.06
971,971,Business Development,13.32,10,18434.09
972,972,Business Development,92.97,5,8498.49
973,973,Research and Development,43.6,2,5731.96
974,974,Research and Development,92.79,6,19254.5
975,975,Research and Development,62.2,8,16519.77
976,976,Engineering,24.27,4,15018.58
977,977,Marketing,14.84,1,11672.57
978,978,Product Management,52.17,3,7768.39
979,979,Training,82.65,5,10752.32
980,980,Support,56.49,8,16761.47
981,981,Business Development,16.88,1,12001.57
982,982,Engineering,81.08,1,19948.4
983,983,Training,34.22,3,14685.29
984,984,Training,95.41,1,18626.09
985,985,Accounting,88.55,3,12427.62
986,986,Services,45.94,7,13205.97
987,987,Support,64.08,10,14923.49
988,988,Accounting,72.23,5,5657.85
989,989,Research and Development,7.31,3,5209.9
990,990,Support,53.85,6,8693.7
991,991,Product Management,2.19,1,17408.24
992,992,Services,5.19,1,16919.36
993,993,Training,28.29,2,8674.7
994,994,Services,49.66,2,15982.73
995,995,Business Development,78.39,3,9265.72
996,996,Product Management,99.97,6,5055.82
997,997,Engineering,60.72,6,16587.94
998,998,Human Resources,35.91,2,8644.82
999,999,Marketing,5.3,9,15077.96
1000,1000,Legal,46.23,3,12524.32
